prj_id,project_type,task_category,item_number,task_title,priority,content,man_days
project_2,Forecasting,Data Integration from dropbox (Cloud Run),4.5,Build pipeline to automatically ingest & process data from GCS to BigQuery,High,"Task: Build pipeline to automatically ingest & process data from GCS to BigQuery. Detail: - Develop a Cloud Run trigger to process data from GCS into structured BigQuery tables.
- Perform necessary data transformations such as parsing, type casting, deduplication, and enrichment.
- Ensure the processed data aligns with the predefined schema and supports downstream analytics or modeling.",8.0
project_2,Forecasting,Data Integration from dropbox (Cloud Run),4.6,Deploy & test on dev environment,High,"Task: Deploy & test on dev environment. Detail: - Deploy all components (Cloud Run, pipelines, scheduler, authentication setup).
- Conduct end-to-end testing using sample Dropbox data to verify successful ingestion and transformation.
- Validate schema mapping, data accuracy, and pipeline performance.",5.0
project_2,Forecasting,Building Demand Forecasting Model (Vertex AI),5.1,Cleaning Data & Feature Engineering,High,"Task: Cleaning Data & Feature Engineering. Detail: - Collect, clean, and preprocess raw data from Dropbox
- Handle missing values, outliers, and inconsistent records to ensure data quality.
- Perform data normalization, encoding, and aggregation by relevant timeframes (daily, weekly, etc.).
- Engineer new features such as moving averages, lag features, seasonal indicators, and category-based metrics (e.g., by outlet, product, or time period).
- Split data into training, validation, and test sets for experimentation and evaluation.",8.0
project_2,Forecasting,Building Demand Forecasting Model (Vertex AI),5.2,Training model for Demand Forecasting with predicting by Day/Batch-Day,High,"Task: Training model for Demand Forecasting with predicting by Day/Batch-Day. Detail: - Select appropriate forecasting algorithms (e.g., Prophet, XGBoost, LSTM, or ARIMA) based on data characteristics.
- Train multiple candidate models to compare performance across different forecasting horizons (per day or per batch of days).
- Tune hyperparameters and optimize model performance using cross-validation.",14.0
project_2,Forecasting,Building Demand Forecasting Model (Vertex AI),5.3,Evaluation & Prediction,High,"Task: Evaluation & Prediction. Detail: - Evaluate model accuracy using standard metrics (e.g., RMSE, MAE, MAPE).
- Perform backtesting using historical data to simulate real-world performance.
- Analyze residual errors and model bias to identify improvement opportunities.
- Generate daily or batch forecasts and validate results with domain experts or business users.
- Prepare final prediction outputs in a structured format for downstream systems or dashboards.",11.0
project_2,Forecasting,Building Demand Forecasting Model (Vertex AI),5.4,Building MLOps for model training & prediction,High,"Task: Building MLOps for model training & prediction. Detail: - Develop a training pipeline using tools using Vertex AI Pipelines
- Automate model retraining and prediction workflows on a defined schedule (e.g., daily, weekly).
- Implement model versioning and artifact tracking  Vertex AI Model Registry, BigQuery).
- Set up monitoring for data drift, model drift, and prediction performance.
- Integrate logging, alerting, and governance mechanisms to ensure reliability and traceability.",9.0
project_2,Forecasting,Building Demand Forecasting Model (Vertex AI),5.5,Deployment & Testing on Dev Environment,High,"Task: Deployment & Testing on Dev Environment. Detail: - Deploy the end-to-end pipeline in a development environment.
- Test model training, prediction scheduling, and output delivery end-to-end.
- Validate performance, accuracy, and stability under real data scenarios.
- Perform integration testing with existing data pipelines, data for dashboards.",5.0
project_2,Forecasting,Demand Forecasting Reports (Looker Studio),6.1,Set up data model for report data,High,Task: Set up data model for report data. Detail: - Create data model to serve report,8.0
project_2,Forecasting,Demand Forecasting Reports (Looker Studio),6.2,Build reports on Looker Studio,High,"Task: Build reports on Looker Studio. Detail: - Unify dashboard content
- Build dashboard to serve demand forecasting problem",9.0
project_2,Forecasting,Demand Forecasting Reports (Looker Studio),6.3,Deploy & test on dev environment,High,Task: Deploy & test on dev environment. Detail: - Test on dev environment,3.0
project_2,Forecasting,Pipeline control and Integration,7.1,Schedule pipeline with Cloud Scheduler,High,Task: Schedule pipeline with Cloud Scheduler. Detail: - Schedule automatic training and prediction of models at a certain frequency,3.0
project_2,Forecasting,Pipeline control and Integration,7.2,Test pipeline with dev data from Dropbox,High,Task: Test pipeline with dev data from Dropbox. Detail: - Test the completion of the pipeline,3.0
project_2,Forecasting,Integration & Testing,8.1,Operate the system with all data on prodiction,High,Task: Operate the system with all data on prodiction. Detail: ,5.0
project_2,Forecasting,Integration & Testing,8.2,User Acceptance Testing (UAT),High,Task: User Acceptance Testing (UAT). Detail: ,10.0
project_2,Forecasting,Integration & Testing,8.3,Check and fix errors on MVP version,High,Task: Check and fix errors on MVP version. Detail: ,6.0
project_2,Forecasting,Documentation & Handover,9.1,User manual documents,High,Task: User manual documents. Detail: ,4.0
project_2,Forecasting,Documentation & Handover,9.2,Technical manual documents,High,Task: Technical manual documents. Detail: ,3.0
project_2,Forecasting,Project Management & Technical Support,10.1,Project Management,High,"Task: Project Management. Detail: - Define project governance (PM, stakeholders, dev leads).
- Maintain roadmap & sprint planning (Agile/Backlog).
- Track deliverables against MVP milestones.
- Regular status reporting to business owners.",15.0
project_2,Forecasting,Project Management & Technical Support,10.2,Technical Support,High,"Task: Technical Support. Detail: - Bug fixes, outages, and user support.
- Maintain documentation & knowledge base.
- Plan for onboarding, training, and post-MVP maintenance.",7.0
